id,Review,aspect category,aspect category1,aspect category2,polarity,polarity1,polarity2
383,"['They are still growing their integrations to work with other software and solutions so you can't connect with very many apps outside paypal, stripe, and wepay.']",['accounting method'],[''],[''],0,,
384,"['I wish there was a little more on the free tier - they do a lot to make you buy a subscription, which is an understandable business model, but sometimes I wish things like syncing a bank account more than once a day (especially if you have to change your password on the banking website) were included in the free tier.']",['price'],[''],[''],0,,
385,"['I do find it a bit frustrating that I cannot find out WHEN my deposits are estimated to hit my bank.  It's either that it doesn't exist in the software, or that it's difficult, even for a daily user, to find it in the menu system.']",['ease of use'],['functionality'],[''],0,0,
386,"['Customer service is responsive, but point the finger at their processor.  that does not get me paid.   My customers orders have been delayed because of a ZIPBOOKS issue. I have been waiting for my payments to be released for now in 12 days.  This is completely unacceptable.  They used to be completely free now they want you to upgrade and pay a monthly fee to use the advanced services, but suddenly can't process payments in a timely manner, or in my case at all.    Just something to think about before you start using this service.  If you NEED to get paid, might want to find another service.']",['customer support'],['time'],['accounting method'],1,0,0
387,"['The mobile applications can use some work. The iOS application is pretty buggy, but accessed through the web, it is pretty flawless.']",['other'],[''],[''],0,,
388,['Best reads are often repeated. On days I actually want to check out what to read and noticing it before is a turn off.'],['functionality'],[''],[''],0,,
389,"['It would show a balance of 3-4 past transactions, however have ALL the transactions in there.    Working with customer service is annoyingly slow.  Response times in my experience have been days and I am a paid member.  Along with the responses are silly gifs some people may dig, but when you have a problem, it's downright insulting.  After customer service realizing I was on an old system, they had it upgraded and wanted me to re-connect my Credit Union.  As a result every transaction was gone!  So years of balancing my business was vaporized.  Thank god I didn't trust their customer service rep and exported everything prior to doing such a poor suggestion. ']",['time'],['customer support'],[''],0,0,
390,['I did have to brush up on some accounting fundamentals to ensure I am recording transactions correctly. It would be nice if they had some tips/descriptions of different types of transactions and how to properly record them. Was able to figure it all out through Google search though.'],['ease of use'],[''],[''],0,,
391,['I see almost no problem in this application'],['none'],[''],[''],1,,
392,['Maybe the renovation is too often so what happens is that you can't keep up with it all the time. This is the only thing'],['update'],[''],[''],0,,
393,['I don't like that bulk-categorization was removed from free accounts without notice or at least a free trial of the next paid tier account so we could understand whether we should upgrade. I also don't like that there's no cash flow statement at this time under reporting.'],['price'],['accounting method'],[''],0,0,
394,"['I think some of the expenses categories are confusing/unnecessary.  I would also like to see some customization of expense categories, though this is perhaps something that is offered and I have yet to learn how to do.']",['ease of use'],['update'],[''],0,0,
395,['I'm waiting for the Android phone app to be released soon. They are expecting to be released in the beginning of the second quarter of 2018'],['other'],[''],[''],0,,
396,['Growing company always have hiccups but they are always responsive and willing to listen to customers and fix things ASAP'],['customer support'],[''],[''],1,,
397,"['Maybe it's just me, being a numbers derelict and all, but some of the features (the things you need to do) are not that easy to find. However on the bright side, if you ask a question, you will usually get a fast straight answer.']",['ease of use'],['customer support'],[''],0,1,
398,"['5 day waiting period for payments was frustrating at first. Eventually, I was able to learn how to drop this down to a 2 days. Also, some functionality took me a bit to figure out. But customer service was able to answer my questions within a matter of minutes!']",['time'],['functionality'],['customer support'],0,0,1
399,['No inventory tracking feature. I would love more freedom in setting up my invoices. I need more options because my products vary. Also no intergration with eBay. But I still love the software.'],['inventory management'],['auto update'],[''],0,0,
400,"['It could allow a bit more invoice customization, like being able to set a NET-15 / NET-30 on a recurring invoice rather than it being due on receipt. Other than that, it's worked pretty well.']",['auto update'],['accounting method'],[''],0,0,
401,['There are some aspects of the UI that feel a bit bloated and unnecessary. Could be streamlined some.'],['ui'],[''],[''],0,,
402,"['They only have an app for IOS, No Android app yet, however I was informed it will be here late summer! (very excited about that)']",['other'],[''],[''],0,,
403,"['Would like more short video tutorials and fees always seem high, just need to keep building our revenue through this site and that would seem less.']",['ease of use'],['price'],[''],0,0,
404,"['It is a very complete software and easy to use, I have no complaints about this software, really it works very good']",['ease of use'],[''],[''],1,,
405,"['I don't like that I can't track inventory. I'll need to have, open and use an additional program for inventory and figure out how to incorporate them.']",['inventory management'],[''],[''],0,,
406,"['Can't easily do deferred revenue, so it's not ideal for SaaS where upfront payments are involved']",['accounting method'],[''],[''],0,,
407,['I have had to integrate SFDC with ZenDesk and other solutions and what a pain! The fact that books integrate with their CRM with their Desk app is wonderful. This does everything you need from creating invoices to managing expenses and accounts.  Very easy to use and full-featured.  It is a definite must for small businesses that are looking for a robust affordable solution that might also need a CRM (look at zoho one).'],['accounting method'],['ease of use'],[''],0,0,
408,['Incredibly good value for the price (way cheaper than Freshbooks/Quickbooks)  Integrates well with the rest of the Zoho suite  Close to everything you'd want from a cloud bookkeeping software'],['price'],['storage'],[''],1,1,
409,['Very easy to navigate through. Learned it in just a couple days. Love to use it. Will recommend to others'],['ease of use'],[''],[''],1,,
410,"['The setup is fairly straightforward, and the learning curve is very manageable. It's really nice to have a good (and reasonable) set of defaults for categories and account structure. That made initial use and customization pretty easy to do. The documentation is generally good, and tip links are numerous.']",['ease of use'],['auto update'],[''],1,1,
411,['It's easy to use  if you're doing simple bookkeeping'],['ease of use'],[''],[''],1,,
412,"['Great for small, medium businesses. Might require tropicalization for local markets.']",['none'],[''],[''],1,,
413,"['We use Zoho Books for our small enterprise accounting needs. It is a very cost-effective solution, especially if you are running it with other Zoho suite products. It includes many of the features of more expensive alternatives. The projects feature is very useful for tracking expenses around each project. The software is also easy to implement across a team.']",['price'],['accounting method'],[''],1,1,
414,"['You can integrate easily with other tools, manage your invoices and reimbursements easily using zoho books. Me and my team are really satisfied.']",['functionality'],['accounting method'],[''],1,1,
415,"['Value for money is incredible, most of the list of features/functionality needed are out of the box features and is very intuitive.']",['price'],['functionality'],[''],1,1,
416,['Everything! Mainly the level of customization available and CRM integration.'],['auto update'],[''],[''],1,,
417,['Phone based app & laptop s-ware are EZ to use.'],['ease of use'],[''],[''],1,,
418,"['Zoho books is cloud based accounting software with many impressive features. Below are the pros of ZOHO Books  1. Zoho comes with many inbuilt accounting software features like inventory management, Payroll processing, Sales and Purchase booking etc.']",['storage'],['inventory management'],[''],1,1,
419,['Excellent/fast support. Interface can be fun to use and is quick to respond.  Development seems to be ongoing.'],['customer support'],['ui'],[''],1,1,
420,"['Pros:    1. Reports. We needed to track our progress down every week and what better way it is than to view our reports. Zoho allows you to get a report for Sales Person, Items and Customer. It's detailed report on overdue invoices are great for us to pound the ones that need to pay. 2. Customer Service. They are always good at getting back to you. When no one is available to answer your call, tehy are going to call you back in less than 24 hrs. Their email support is also pretty quick they wont leave you hanging.']",['accounting method'],['customer support'],[''],1,1,
421,['This product Hooks up easily to Zoho CRM. The product works almost fluidly with the CRM. it makes it easy to see each client payment and how much we have received each month. The information the books hold really helps for some financial reports. The Reports do make my life easier kindof.  Books make it easy to bill clients and it keeps all the information in one place.'],['ease of use'],['backup'],[''],1,1,
422,['Zoho Books is so easy to use and very convenient software. The another best thing about this software is that it is the best accounting financial management software because it is the most reliable software for accounting as compared to its competitors.'],['ease of use'],['accounting method'],[''],1,1,
423,"['A true CRM tool for sales people with the tools the ability to give accountants information needed. You can provide invoicing and estimates for clients as well as get an overview of sales for the year, the month and other important information']",['accounting method'],['functionality'],[''],1,1,
424,"['You can automate much of your purchasing and invoicing 'paperwork' process which is wasted time you can spend actually working on your business.  It integrates easily with other Zoho products, QuickBooks and Google if you need it to.']",['auto update'],['time'],[''],1,1,
425,"['Zoho Books makes our life so easier by managing all of our invoices and expenses and get ready your checks to get rid all of our our money easily. By using this efficient software, we cannot worried about our banks accounts, transactions problems and we can easily collaborate with our customer and accountant.']",['accounting method'],['functionality'],[''],1,1,
426,['Ease of use'],['ease of use'],[''],[''],1,,
427,['The statement download from bank and reconciliation option is great GST filing options are great Dashboard is very well designed Android application is very useful'],['functionality'],['ui'],[''],1,1,
428,"['Very simple to categorize funds, connectivity with other tools in Zoho Suite.']",['functionality'],[''],[''],1,,
429,['Zoho books  supports to handle a multiple projects at a time and easy to calculate cost of sale of each project. Its very  helpful to present the overall view of each project to top level management and our clients. The Time tracking module in Zoho books  shows each project profitability. Its very easy to take statement of account of each client on the basis of user demand.'],['accounting method'],['functionality'],[''],1,1,
430,['Customer support is excellent. Multiple currency features is good.'],['customer support'],['functionality'],[''],1,1,
431,['This is quite a good option for keeping records. This software has excellent support to its users and gets update on a regular basis that is they continue to add new features.'],['backup'],['update'],[''],1,1,
432,['Recurring Bills  Mass uploading of transactions  cloud based  transactional approval  Tax compliant  Live bank update  Price list feature  comprehensive details for contacts  Reminders    '],['storage'],['accounting method'],[''],1,1,
433,['Its Up to date with the new developments  - It takes safe as you need passwords to access  - Its has an interesting User Interface '],['update'],['security'],['ui'],1,1,1
434,"['Simple, clean and clear UI. Nothing has come close.  Onboarding our accountants was simple.']",['ui'],['functionality'],[''],1,1,
435,"['This is a great cloud-based Booking software that integrates well with other Zoho apps, such as CRM. This allows our business to seamlessly transition between the two programs.']",['storage'],['functionality'],[''],1,1,
436,"['I love how other outside apps can be integrated as well.  Books is great for managing the estimates, invoices, work orders along with the expenses of your company.  ZOHO allows you to customize almost every aspect of the system.']",['accounting method'],['auto update'],[''],1,1,
437,"['Almost everything.  ZohoBooks is quick and easy to use, I love the Stripe integrations and how easy it is to use Zapier to extend its capabilities by connecting it with other software.  I've received calls from customers that use Quickbooks asking about the software we use to send invoices because its so easy to use! I'll never use anything else to run my businesses.  My CPA is working with it too now which makes it a super easy, integral part of my business.']",['ease of use'],['accounting method'],[''],1,1,
438,['I like that it's very user-friendly. Almost all the necessary things you need for your bookkeeping is there.'],['ease of use'],['functionality'],[''],1,1,
439,['I am a long time ZOHO user and I like the fact that all their products are integrated.  You don't have to license everything you need at once.  You can build it over time.  I also like that you can add on other software through third parties to ZOHO Books.'],['functionality'],[''],[''],1,,
440,['Everything work like they show in there presentations'],['none'],[''],[''],1,,
441,['Constant iteration  -Good support'],['customer support'],[''],[''],1,,
442,"['Ease of use, visual representation of dashboard, reports.']",['ease of use'],['ui'],[''],1,1,
443,['Ease of use and nicely featured for everyday business.'],['ease of use'],['ui'],[''],1,1,
444,['The ability to track time spent on a specific project for a specific customer and translate that to invoicing is great. The customer specific portal for them to access their invoices is another great feature that separates this tool from so many others.'],['accounting method'],['functionality'],[''],1,1,
445,['It is very customizable and can be synced with Zoho CRM. It is cloud based so data is safe and secure.'],['auto update'],['storage'],['security'],1,1,1
446,"['Zoho Books helps me manage finances per projects, where you can add tasks, assign members, and follow processes using your mobile device.  Simply insert your sheets and client information in the system, and bill them to customers in a second.  ']",['functionality'],[''],[''],1,,
447,"['cloud based, feature rich, simple to use, has user profiles, has customer portal, good customer service,']",['storage'],['ease of use'],['customer support'],1,1,1
448,['the price simply cannot be beaten. There are a lot of features for the monthly price. - Bank syncing works well and There have never been any problems with linking any of the Bank on my account. - Invoice and email customization is sufficient enough to differentiate itself from competitors. - Client portals allow clients to log in and see their billing history. - Zoho books can integrate with many other platforms via their API and through Zapier.'],['price'],['accounting method'],[''],1,1,
449,"['One of the best things about Zoho Books is that it is Scalable for any size business, and being that it runs in the Cloud, you don't need to worry about in house servers to run the app or any backup services. Zoho handles all of that for you!']",['storage'],['backup'],[''],1,1,
450,"['What I like most with this software is the ease of use.  I have not used ZOHO Books for very long, but it is very user friendly, you are able to edit the information that is entered.  I use ZOHO Books daily to review expenses that have been entered as well as submitting a timesheet each day.  For other software I have used, expenses are entered weekly and in ZOHO Books, the information is entered daily which gives our company a better idea of what has been expensed each day versus looking at software that shows a week long process.']",['ease of use'],['functionality'],[''],1,1,
451,"['Customer service is also very helpful. Price is not expensive, I think it deserves to try. Design is perfect and simplicity is the best part of it.']",['customer support'],['price'],['ui'],1,1,1
452,['Customer service  Access anywhere from any device'],['customer support'],[''],[''],1,,
453,"['The only thing I find even slightly annoying is that the feed connection to the bank account is often ""broken"", but on the positive side the status is clear and whatever issues exist seem to fix themselves automatically within a day or two. It's not really a show-stopper; it's just annoying when I want to ""clean up"" things and the bank feed isn't fully current.']",['accounting method'],['auto update'],[''],0,1,
454,['This software is not made for those wanting to automate as much of the workflow as possible.  It is also not for businesses hoping to scale with the software.  The software link to the bank account and credit card frequently breaks leaving the user to have to sync manually.  I have contacted customer service regarding this issue but there does not seem to be a solution. '],['auto update'],['customer support'],[''],0,1,
455,"['I would recommend this for companies that are running a full suite of Zoho products, such as Zoho CRM. Zoho Books is not readily compatible with third-party CRM or other software, so it is only recommended if you are starting a new business and do not have existing CRM, or are replacing a full suite.']",['other'],[''],[''],0,,
456,"['Don't quite understand how to customize an invoice, save it & use it for monthly billing.    Sometimes, I have to play around with the invoice to get all of the detail needed to print.  For example, it is not readily apparent how to display the dates for which each expense is incurred on the invoice.']",['auto update'],['time'],[''],0,0,
457,['1.As compared to Quickbooks online many features are missing. 2.Disadvantage of cloud based software is it becomes difficult to shift to windows based software as data can not be transferred easily. 3. Zoho attracts consumer by quoting very less fees for 1st year but from next years there is steep increase in charges.'],['storage'],['price'],[''],1,0,
458,"['No integrated payroll functionality - small flaw, as you can easily import journals from the software of your choice. Average bank reconciliation - filtering records is difficult, custom sorting as well.  No itegrated CIS solution. No reporting directly to HMRC.']",['functionality'],['accounting method'],[''],0,0,
459,"['Lacks basic functions like deposit slip printing (and automatically transferring those funds to bank from Undeposited Funds), ability to pre-send recurring invoices, inability to set simple defaults such as default account to accept payment to (always need to manually select Undeposited Funds when accepting checks) and no running total in account ledgers such as Undeposited Funds (how are you supposed to find and fix errors, mistakes?)']",['functionality'],['accounting method'],[''],0,0,
460,['The most obvious difficulty that we faced while using this software is that there features are not much advanced as compared to its competitors because it cannot provide the great features of sending expenses and finance to the business companies. The another problem of this software is that this software is very difficult for the new users and it is not so easy to learn how to handle our accounts and invoices. But still it is the best tool for business accounting.'],['functionality'],['ease of use'],[''],0,0,
461,"['Only administrators can adjust invoices once they have been sent which limits functionality for larger sales teams.  Cancelling an estimate or invoice even when in draft mode is not as straightforward as when you create one.  Mobile apps for Zoho Books is not as easy to use as the web app, if you are running a business, it is good for viewing sales at a glance but it is not ideal for CRM on the go.  There is a slight learning curve to use Zoho Books for accounts especially if you are coming from another accounting suite.']",['functionality'],['accounting method'],['ease of use'],0,0,0
462,['For instance it took me a while to figure out that I needed to make sure I had chart of account line items in both.  I assumed they would sync but they didn't.  I had to go to expense and create the same custom line item I did in books.  Not a big deal but it would have been helpful to know that I needed to do that.  Customer Support can be very inconsistent.'],['time'],['customer support'],[''],0,0,
463,"['This software is not so easy to use especially for the beginners is that they cannot easily handle the advanced payments and in this why they faced a lot of problems about the payments acceptance and invoices recurring. But otherwise it is best for the payment transaction, invoices recurring and expenses.']",['ease of use'],['accounting method'],[''],0,0,
464,"['I dont even get the point that even I can modify the invoices in this software or not, if not then zoho should add this option and if yes than they should make it easy to understand by any user. They should also add the option of copy to store companys data in the system because this option is not available we have to keep paper records instead. They should make it a cloud based software because when you change the system you should face the difficulty of transferring data.']",['functionality'],['storage'],[''],0,0,
465,"['The one fatal flaw of Books, for me, was that importing my contacts from an Excel spreadsheet was a nightmare. My files were set up in a pretty standard format - name, company, title, etc., but Books just didn't translate to something so simple. I was incredibly disappointed in this as I can easily import to other software in no time. Importing took me hours and I still had to go in & make corrections. If not for that, I'd say this software is A++!']",['functionality'],['time'],[''],0,0,
466,"['Reconciliation of previous transactions: when there is a mistake in of the previous months reconciliation history, all other reconciliations has to be deleted till the date you want to make the change.  Does not support retail with multi-location. It means each location will have to be setup up as a separate company. There should be a location or class feature on each transaction and same should be reflected on the reports.']",['accounting method'],['time'],[''],0,0,
467,['Some times It take long to work on Its magic'],['time'],[''],[''],0,,
468,"['Reports are not customizable, and it's not really that easy to use.']",['auto update'],['ease of use'],[''],0,0,
469,"['Sometimes the navigation can get confusing, and the Reports aspect should be more customizable. We have also found difficulty in matching purchase orders with the corresponding bank account records, s well as making then auto  match and appear correctly for accounting reports.']",['auto update'],['functionality'],[''],0,0,
470,"['Don't have high expectations of the support if needed.  Some days they are on it, others they lack the luster of greatness or even normalcy.  Don't hestiate to call email or chat, if its something simple, they may fix it immediately or tell you it can't be done, only to later find out it can.  Other days you'll wait for 2 days then get a call back from the same person and find out that one of the programmers fixed the issue.']",['customer support'],['time'],[''],0,0,
471,['Some accounting disabilities  - Still need book keeper to make things right  - Not synced to local banks in Asia'],['other'],[''],[''],0,,
472,"['- The interface is a little hard to follow sometimes. There is too much white with tiny little lines across the screen. Looks ""out of focus"" a lot of the time. - Recurring expenses are not handled well, in my opinion. There isn't an easy way to see expenses that were auto-created for easy removal.']",['ui'],['auto update'],[''],0,0,
473,['there are transaction entries that are not able to be removed when the information is not able to be matched against our company credit card.  There are entries from November 2517 that are unable to be deleted or at least there are no instructions on how to remove the unwanted entries.'],['time'],['functionality'],[''],0,0,
474,['No ability for client to sign delivery note on the iPad or phone so you don't need to print.    Current version won't print to AirPrint'],['other'],[''],[''],0,,
475,"['Very minimal, as we are growing we are finding that we need a few features our accountants require, but this is something they can do manually on ther end for now.']",['none'],[''],[''],1,,
476,"['Reports are not customizable, and it's not really that easy to use.  I needed to download reports from one place to another to come up with an accurate report.  Sometimes, reports contradict one another.  Been wrestling with the reporting part for a few months now.']",['accounting method'],['ease of use'],[''],0,0,
477,"['Sometimes the navigation can get confusing, and the Reports aspect should be more customizable. We have also found difficulty in matching purchase orders with the corresponding bank account records, s well as making then auto  match and appear correctly for accounting reports.']",['accounting method'],['functionality'],[''],0,0,
478,['I can't think of anything off the top of my head.'],['none'],[''],[''],1,,
479,['The mobile app is alright but can be improved.'],['other'],[''],[''],1,,
480,['using a plug in Forte you can process payments to vendors and refunds to customers.  I wish that ZOHO Books would also enable paying of payroll tax - like QuickBooks.  Perhaps this is something they are working on.'],['accounting method'],[''],[''],0,,
481,['They need offer a flexibility way to create a custom reports'],['functionality'],[''],[''],0,,
482,['Some accounting disabilities  - Still need book keeper to make things right  - Not synced to local banks in Asia'],['accounting method'],[''],[''],0,,
483,['not customizable to the extent required for tax laws in Greece but understandable'],['auto update'],[''],[''],0,,
484,"['Some things are visible, but no way to utilize them (owners equity, profit distribution, tax payable).']",['ease of use'],['functionality'],[''],0,0,
485,['The fact that there are so many great features can make it challenging for some people to setup and use. Once you get used to it though it's great !'],['ease of use'],[''],[''],0,,
486,['Initially the charges are low compared to other products present but from next year they increase their fees and also it has less features  in comparison to some other products like quickbook.'],['price'],['functionality'],[''],0,0,
487,['Zoho Books is a decent program that can be nightmare. If you require anything more than the most basic accounting then Zohos ridiculously restrictive rules require you to do a workaround for the most basic transactions.   '],['accounting method'],['functionality'],[''],0,0,
488,"['no budgets,']",['price'],[''],[''],0,,
489,"['The interface is a little hard to follow sometimes. There is too much white with tiny little lines across the screen. Looks ""out of focus"" a lot of the time. - Recurring expenses are not handled well, in my opinion. There isn't an easy way to see expenses that were auto-created for easy removal.']",['ui'],['accounting method'],[''],0,0,
490,"['The downside is that  it's price for the premium plan costs almost the same as upgrading to their Zoho One OS for Business which give you access to this and 45 other apps they offer, many of which you may not need.']",['price'],[''],[''],1,,
491,"['I did not like about this software, it would be the Banking Portion.  Occasionally, there are transaction entries that are not able to be removed when the information is not able to be matched against our company credit card.  There are entries from November 2517 that are unable to be deleted or at least there are no instructions on how to remove the unwanted entries.']",['accounting method'],['backup'],[''],0,0,
492,"['Working slow sometimes, scrolling and search bugs. Zoho Books has not any big problems or errors, We didn't notice any negative affect and we never felt disappointment about it.']",['time'],[''],[''],0,,
493,['The only great aspect is when you call they actually pick up the phones.'],['customer support'],[''],[''],1,,
494,"['Easy to use, It was inexpensive and somewhat reliable the first couple years']",['ease of use'],['price'],[''],1,1,
495,['The best thing about FreshBooks software is the vendor constantly keeps introducing new features. The software shows little screens with info about the new features and this helps me to discover new things that can be useful for me. The main part is FreshBooks is a top quality accounting software that helps me manage my companyâ€™s finances easily.'],['update'],['accounting method'],[''],1,1,
496,['I love how the program is cloud-based. This gives me information access in real-time regardless of my location. Another essential functionality is being able to make more than one company profile. Freshbooks deploys functionality that's intuitive allowing for simpler invoice/client generation and management.'],['storage'],['functionality'],[''],1,1,
497,['I love that FreshBooks is reliable and easy to use. I have been using it for more than five years to manage my companyâ€™s billing work. The app has boosted my companyâ€™s cash flow and my customers also love this system.'],['ease of use'],['accounting method'],[''],1,1,
498,['It\'s easy and fast to use. It looks professional and it\'s fairly affordable. Very short learning curve.'],['ease of use'],['time'],[''],1,1,
499,['I love that FreshBooks is easy to set up and use. We are saving a lot by switching over from credit card and merchant account processing through our bank which used to cost a lot. The saved money is more than the subscription we pay for FreshBooks. Another great thing is they are keeping the price constant though they keep adding new features and tools to the software.'],['ease of use'],['accounting method'],['price'],1,1,1
500,['Performance and its ability to create and transmit important data. '],['functionality'],[''],[''],1,,
501,"['When I upgraded to Freshbooks since it was suggested by a friend of mine. With my business growining, I know which problems I needed to deal with before they become major issues. I can also make monthly projections, which helped me hire an assistant part-time and freeing up time for me to concentrate further on photography.']",['time'],['functionality'],[''],1,1,
502,"['I like that I can access FreshBooks anywhere, anytime to manage estimates, expenses, and invoices. I love that it integrates with my bank account easily which helps me to keep track of expenses and cash flow.']",['functionality'],['accounting method'],[''],1,1,
503,"['Freshbooks did a tremendous job in convering my tedious monthly task into something that's swift and easy to do. I like how I get to have automated invoices, late payments, and reminders. Its automation was such a difference maker as I would lose track (every now and then) in sending invoices or getting them out in the later going. Its reminders prevented things from getting way too personal.']",['ease of use'],['auto update'],['accounting method'],1,1,1
504,['Freshbooks is capable of streamlining the process on a number of projects for different clients. I like how you can have a bunch of project categorized for a certain client. This is useful in my job where we're frequently dealing with different tasks for one client. One thing I like is that you can key in time enties or items on invoices.'],['functionality'],['accounting method'],[''],1,1,
505,"['For me, the plus points are the system is easy to use on desktop and mobile. But the app is below par. It is easy to use the desktop on the phone. You can improve your business by linking payment options as this automatically records payments from your clients and saves you a great deal of time.']",['ease of use'],['auto update'],[''],1,1,
506,['Freshbooks is so easy to utilize. It comes with a clean interface. Its iPhone apps allows for seamless time tracking and billing. I've had this for a number of years and it really fits the bill!'],['ui'],['accounting method'],[''],1,1,
507,"['With Freshbooks, I get to make a monthly-based invoice. It does this with its own set-it-and-forget-it approach that's comfortable to use and highly valuable. Our clients can now save paymet info whenever they're paying their initial invoice for faster payment every one month after.']",['accounting method'],['functionality'],[''],1,1,
508,['I appreciate that FreshBooks is important for my business. I am not an accounting professional and I donâ€™t particularly like bookkeeping. I was looking for a software that helps me do accounting easily. FreshBooks offers all that I need and more too.'],['ease of use'],['accounting method'],[''],1,1,
509,['I love FreshBooks for many reasons. It offers excellent mobility and the customer support agents are helpful and friendly. You can use your mobile phone to input data on the go. I am able to give quotes to people right on the phone.'],['customer support'],['functionality'],[''],1,1,
510,['Our company mainly uses FreshBooks for invoices and time tracking. We have multiple clients and projects so it is important that our employees track their time correctly on projects.'],['accounting method'],['functionality'],[''],1,1,
511,"['This software is simple and effective. It allows to create invoices and record the balances.  It can use in Android devices, is fast. ']",['ease of use'],['accounting method'],[''],1,1,
512,"['We use FreshBooks mainly for invoicing. I appreciate the automation of recurring invoices, email notices for overdue payments, and late fees added to overdue invoices. The app helps us to easily manage our A/R tasks. Previously, we were using Word-based invoices which used to consume a lot of time. With FreshBooks, we are able to save a lot of time managing our A/R and invoices.']",['accounting method'],['auto update'],['time'],1,1,1
513,"['I love everything about FreshBooks. It is an excellent app for freelancers and small companies. I have been using it for the past few years and rate it the best software in the market. Whenever I had issues, the support team helped me to resolve them quickly with effective solutions.']",['customer support'],[''],[''],1,,
514,"['FreshBooks has become an indispensable tool for my business. I use it for invoicing, estimates, managing payment schedules and other accounting work. It integrates smoothly with the other business systems I use. I love that they keep adding useful adjustments like the ability to include a deposit request.']",['accounting method'],['functionality'],[''],1,1,
515,"['It's super easy to utilize. It gives me the required structure for keeping track of my time. The same goes for expenses of my projects. What's more, it makes me look real good by delivering invoices to clients that are alluring and having all the necessary info in simplified manner.']",['ease of use'],['accounting method'],[''],1,1,
516,"['Freshbooks is easy to utilize. It's an online-based accounting software that lets you organize your invoices in an easy manner. It also keeps track of your customers. Thanks to its time tracking and highly advanced follow-up feature, it's a great and simple tool recommended for freelancers.']",['backup'],['accounting method'],[''],1,1,
517,"['I like how I get to mix time tracking, invoicing, and accounting in a single platform. I get to keep track of time. I can make and send out invoices, and get paid. All that in a package that's all so simple to utilize.']",['accounting method'],['ease of use'],[''],1,1,
518,"['I love that FreshBooks manages invoice follow up easily. I use it to create and send out bills, it accepts online payments and automatically reminds clients about overdue invoices. It is an ideal app that service-based companies can use to keep their cash flowing.']",['accounting method'],['auto update'],[''],1,1,
519,['Customer interface is excellent and ability to not store credit card information locally is key to PCI compliance.  We love the recurring profile concept for recurring billing and find the web portal very intuitive.'],['ui'],['accounting method'],[''],1,1,
520,"['Every three months I get a call from my 'new account manager' telling me about all the great upgrades and solutions for my company.  Right after they are done pretending to know anything about my services, they hit you with a, 'charges are changing on your account' speech.  As they double, not go up, DOUBLE my rates for the month, I'm now looking for someone else to service my accounts.']",['price'],[''],[''],0,,
521,"['The only complaint I have about is expense categorization. I categorize and track my expenses on a different system and I would like to integrate it with FreshBooks instead of duplicating the work to view expense breakdowns. Because of this lack, I manage expense categorization elsewhere and not in FreshBooks.']",['accounting method'],[''],[''],0,,
522,"['At this point in time, I'm very much content with Freshbooks. I like how I get to make the most of its functionality that can't been seen in other third party software.']",['functionality'],[''],[''],1,,
523,['FreshBooks is advertised as a cloud accounting software. The description is not accurate as the system lacks a few important accounting features. But it offers top notch expense tracking and billing features that are one of the best in the market.'],['storage'],['functionality'],['accounting method'],1,0,1
524,['Start adding clients and the costs go up quickly. More variety in plans.'],['price'],[''],[''],0,,
525,['I donâ€™t have any issues at all with this system as it fulfills my expectations and needs.'],['none'],[''],[''],1,,
526,['The data is not safeguarded with several steps. That must improve. '],['security'],[''],[''],0,,
527,['I hate the fact that I'm a few years later in discovering this. It's a bit annoying knowing that the program itself is entirely online. I wish I get to access it from my desktop PC offline.'],['functionality'],[''],[''],0,,
528,['My only complaint is the software does not allow me to bill a flat rate for some projects. I need to subdivide the projects to calculate hourly rate after quoting a flat rate and this has been questioned by a few clients.'],['functionality'],[''],[''],0,,
529,"['I was hopong it'd be a bit simple to my own virtual assistant to making invoices. I wanted a way in converting payments to credits. Through that approach, whenever payment is made in advance, it would automatically apply such advancement payment for invoices in the future. I feel like it's better to remove the three-invoice reminder restriction.']",['accounting method'],[''],[''],0,,
530,"['One issue I'm facing with Freshboosk is that I've yet determine how to remove projects/clients. This is actually clogging my list. We've got projects that we haven't been working on for a number of years. Thing is, they're still showing up on the time tracking list.']",['ease of use'],['functionality'],[''],0,0,
531,['I have a major grouse with FreshBooks. You cannot snail mail an estimate with the â€œsnail mail buttonâ€. When you send an email using Yahoo or Comcast.net the estimate gets rejected and you donâ€™t even get a mailer daemon message about the failure. This forces me to call clients and I get embarrassed when they say the estimate is not even in their junk mail. This annoyance occurs regularly because of which I am thinking of switching to another software.'],['functionality'],['customer support'],[''],0,0,
532,"['I was hoping Freshbooks would let keep time-billing segregated from time tracking. Fortunately, its latest version now allows this.']",['none'],[''],[''],1,,
533,['One aspect that I'd be pleased to see is being able to do more than just what it's offering. By that would mean procuring a business loan/line of credit via data within Freshbooks.'],['functionality'],[''],[''],0,,
534,['My only gripe is the app lacks a browser extension for the time tracking timer. I use this feature a lot so it would be great if the vendor adds it to the software.'],['accounting method'],['time'],[''],0,0,
535,['My only grouse is the card reader is priced a bit steeply.'],['price'],[''],[''],0,,
536,"['The time tracking feature gives some trouble. There are two options: you can use the timer or enter time manually. During our work, we constantly keep switching from one project to another. It is difficult to keep switching the timer constantly. If we enter time manually, it shows inaccurate estimates.']",['accounting method'],[''],[''],0,,
537,['This software a bit expensive to try to be used by an entrepreneur.'],['price'],[''],[''],0,,
